player,nationality,position,age,weekly_wages,annual_wages,notes,team_name,team_id,season
Walter Benítez,ar ARG,GK,32,,,,Crystal Palace,47c64c55,2025-2026
Jordan Pickford,eng ENG,GK,31,"£ 125,000 (€ 143,468, $165,630)","£ 6,500,000 (€ 7,460,323, $8,612,760)",,Everton,d3fd31cc,2025-2026
Idrissa Gana Gueye,sn SEN,DM,35,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",Unverified estimation,Everton,d3fd31cc,2025-2026
Jarrad Branthwaite,eng ENG,CB,23,"£ 120,000 (€ 137,729, $159,005)","£ 6,240,000 (€ 7,161,910, $8,268,250)",Unverified estimation,Everton,d3fd31cc,2025-2026
James Tarkowski,eng ENG,CB,32,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",,Everton,d3fd31cc,2025-2026
Michael Keane,eng ENG,CB,32,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Everton,d3fd31cc,2025-2026
Vitaliy Mykolenko,ua UKR,LB,26,"£ 58,000 (€ 66,569, $76,852)","£ 3,016,000 (€ 3,461,590, $3,996,321)",,Everton,d3fd31cc,2025-2026
Séamus Coleman,ie IRL,RB,36,"£ 55,000 (€ 63,126, $72,877)","£ 2,860,000 (€ 3,282,542, $3,789,614)",Unverified estimation,Everton,d3fd31cc,2025-2026
Beto,gw GNB,CF,27,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Everton,d3fd31cc,2025-2026
Iliman Ndiaye,sn SEN,LW,25,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Everton,d3fd31cc,2025-2026
Jake O'Brien,,RB,24,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Everton,d3fd31cc,2025-2026
Youssef Chermiti,,CF,21,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Everton,d3fd31cc,2025-2026
James Garner,eng ENG,DM,24,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",Unverified estimation,Everton,d3fd31cc,2025-2026
Nathan Patterson,sct SCO,RB,23,"£ 28,000 (€ 32,137, $37,101)","£ 1,456,000 (€ 1,671,112, $1,929,258)",,Everton,d3fd31cc,2025-2026
Dwight McNeil,eng ENG,LW,25,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Everton,d3fd31cc,2025-2026
Tim Iroegbunam,,CM,22,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Everton,d3fd31cc,2025-2026
Carlos Alcaraz,ar ARG,CM,22,"£ 20,000 (€ 22,955, $26,501)","£ 1,040,000 (€ 1,193,652, $1,378,042)",Unverified estimation,Everton,d3fd31cc,2025-2026
Harry Tyrer,,GK,23,"£ 1,500 (€ 1,722, $1,988)","£ 78,000 (€ 89,524, $103,353)",Unverified estimation,Everton,d3fd31cc,2025-2026
Harrison Armstrong,,CM,18,"£ 1,200 (€ 1,377, $1,590)","£ 62,400 (€ 71,619, $82,682)",Unverified estimation,Everton,d3fd31cc,2025-2026
Mark Travers,ie IRL,GK,26,,,,Everton,d3fd31cc,2025-2026
Thierno Barry,,CF,22,,,,Everton,d3fd31cc,2025-2026
Bernd Leno,de GER,GK,33,"£ 130,000 (€ 149,206, $172,255)","£ 6,760,000 (€ 7,758,736, $8,957,270)",,Fulham,fd962109,2025-2026
Raúl Jiménez,mx MEX,CF,34,"£ 100,000 (€ 114,774, $132,504)","£ 5,200,000 (€ 5,968,258, $6,890,208)",Unverified estimation,Fulham,fd962109,2025-2026
Joachim Andersen,dk DEN,CB,29,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Fulham,fd962109,2025-2026
Alex Iwobi,ng NGA,LW,29,"£ 80,000 (€ 91,819, $106,003)","£ 4,160,000 (€ 4,774,607, $5,512,166)",Unverified estimation,Fulham,fd962109,2025-2026
Issa Diop,fr FRA,CB,28,"£ 70,000 (€ 80,342, $92,753)","£ 3,640,000 (€ 4,177,781, $4,823,146)",Unverified estimation,Fulham,fd962109,2025-2026
Adama Traoré,es ESP,RW,29,"£ 65,000 (€ 74,603, $86,128)","£ 3,380,000 (€ 3,879,368, $4,478,635)",Unverified estimation,Fulham,fd962109,2025-2026
Timothy Castagne,be BEL,RB,29,"£ 65,000 (€ 74,603, $86,128)","£ 3,380,000 (€ 3,879,368, $4,478,635)",Unverified estimation,Fulham,fd962109,2025-2026
Kenny Tete,nl NED,RB,29,"£ 65,000 (€ 74,603, $86,128)","£ 3,380,000 (€ 3,879,368, $4,478,635)",Unverified estimation,Fulham,fd962109,2025-2026
Saša Lukić,rs SRB,DM,28,"£ 63,000 (€ 72,308, $83,478)","£ 3,276,000 (€ 3,760,003, $4,340,831)",,Fulham,fd962109,2025-2026
Emile Smith Rowe,eng ENG,AM,24,"£ 60,000 (€ 68,865, $79,502)","£ 3,120,000 (€ 3,580,955, $4,134,125)",Unverified estimation,Fulham,fd962109,2025-2026
Sander Berge,no NOR,DM,27,"£ 55,000 (€ 63,126, $72,877)","£ 2,860,000 (€ 3,282,542, $3,789,614)",Unverified estimation,Fulham,fd962109,2025-2026
Harrison Reed,eng ENG,CM,30,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Fulham,fd962109,2025-2026
Antonee Robinson,us USA,LB,27,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Fulham,fd962109,2025-2026
Andreas Pereira,br BRA,AM,29,"£ 50,000 (€ 57,387, $66,252)","£ 2,600,000 (€ 2,984,129, $3,445,104)",Unverified estimation,Fulham,fd962109,2025-2026
Calvin Bassey,ng NGA,CB,25,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Fulham,fd962109,2025-2026
Ryan Sessegnon,eng ENG,LB,25,"£ 45,000 (€ 51,648, $59,627)","£ 2,340,000 (€ 2,685,716, $3,100,594)",Unverified estimation,Fulham,fd962109,2025-2026
Harry Wilson,wls WAL,RW,28,"£ 35,000 (€ 40,171, $46,376)","£ 1,820,000 (€ 2,088,890, $2,411,573)",Unverified estimation,Fulham,fd962109,2025-2026
Tom Cairney,sct SCO,CM,34,"£ 30,000 (€ 34,432, $39,751)","£ 1,560,000 (€ 1,790,478, $2,067,062)",,Fulham,fd962109,2025-2026
Jorge Cuenca,es ESP,CB,25,"£ 25,000 (€ 28,694, $33,126)","£ 1,300,000 (€ 1,492,065, $1,722,552)",Unverified estimation,Fulham,fd962109,2025-2026
Luke Harris,,AM,20,"£ 12,500 (€ 14,347, $16,563)","£ 650,000 (€ 746,032, $861,276)",Unverified estimation,Fulham,fd962109,2025-2026
Steven Benda,de GER,GK,26,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Fulham,fd962109,2025-2026
Josh King,,CM,18,"£ 10,000 (€ 11,477, $13,250)","£ 520,000 (€ 596,826, $689,021)",Unverified estimation,Fulham,fd962109,2025-2026
Rodrigo Muniz,br BRA,CF,24,"£ 7,500 (€ 8,608, $9,938)","£ 390,000 (€ 447,619, $516,766)",Unverified estimation,Fulham,fd962109,2025-2026
Martial Godo,,LW,22,"£ 3,000 (€ 3,443, $3,975)","£ 156,000 (€ 179,048, $206,706)",Unverified estimation,Fulham,fd962109,2025-2026
Jack Harrison,eng ENG,RW,28,"£ 90,000 (€ 103,297, $119,254)","£ 4,680,000 (€ 5,371,433, $6,201,187)",Unverified estimation,Leeds United,5bfb9659,2025-2026
